_id,productName,description,image,price,discount,__v,status,retailPrice
645fbf1d1a9892653fda514b,Rasna Instant ,Rasna Instant Orange 500gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Rasna%20Instant%20Rasna%20Instant%20Orange%20500gm300%2Fimage?alt=media&token=25a8ab70-3c19-4075-9ec4-c54347dd1599,300,,0,Active,199
645fbfc81a9892653fda514e,Park Avenue,"Park Avenue Neo Signature Deo For Men, 150ml",https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Park%20AvenuePark%20Avenue%20Neo%20Signature%20Deo%20For%20Men%2C%20150ml250%2Fimage?alt=media&token=a5571e4a-7308-4a22-ac27-f7c781fd7738,250,,0,Active,150
645fc0401a9892653fda5151,Good Home ,Good Home Room freshener 160g-Divine,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Good%20Home%20Good%20Home%20Room%20freshener%20160g-Divine160%2Fimage?alt=media&token=c7dc4c7f-c3df-4a84-b7be-f8c0119e4eef,160,,0,Active,109
645fc0c01a9892653fda5154,Himalaya ,Himalaya Nourishing Body Lotion (Ns) 100ml.,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Himalaya%20Himalaya%20Nourishing%20Body%20Lotion%20(Ns)%20100ml.85%2Fimage?alt=media&token=0d006c51-66ba-4f7f-8d0c-43f0ea137dc1,85,,0,Active,42
645fc1281a9892653fda5157,Fair and lovely,Glow & Lovely Advanced Multivitamin Face Cream,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Fair%20and%20lovelyGlow%20%26%20Lovely%20Advanced%20Multivitamin%20Face%20Cream186%2Fimage?alt=media&token=41a8193a-f99d-4d7b-af86-988286ae8043,186,,0,Active,170
64611b9d2cf2489bc1f0b412,pears,"PEARS SOAP BAR, (PACK OF 4 ) 75G",https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/pearsPEARS%20SOAP%20BAR%2C%20(PACK%20OF%204%20)%2075G162%2Fimage?alt=media&token=a1ebd07d-0475-467a-a245-a61137e9cc76,162,,0,Active,139
64611c902cf2489bc1f0b415,himalaya, Himalaya Herbal Baby Powder - 200gm,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/himalaya%20Himalaya%20Herbal%20Baby%20Powder%20-%20200gm145%2Fimage?alt=media&token=fc0cad5e-f810-4f4e-900d-df7bae28442d,145,,0,Active,99
64611e482cf2489bc1f0b41b,dove,"Dove Cream Beauty Bathing Bar, 75g (Pack of 3)",https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/doveDove%20Cream%20Beauty%20Bathing%20Bar%2C%2075g%20(Pack%20of%203)150%2Fimage?alt=media&token=3cf59176-8f81-4035-b595-a0466ef3bca4,150,,0,Active,119
64611efd2cf2489bc1f0b41e,santoor,Santoor Total Skin Care,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/santoorSantoor%20Total%20Skin%20Care180%2Fimage?alt=media&token=72b2b694-712e-455e-8403-0d25b55adb7b,180,,0,Active,150
64611fe62cf2489bc1f0b421,pour home,"Pour Home Room Freshener, Spray 270ml",https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/pour%20homePour%20Home%20Room%20Freshener%2C%20Spray%20270ml169%2Fimage?alt=media&token=5ff06627-6d4e-4eed-ad4c-1c5541ad285e,169,,0,Active,100
646120892cf2489bc1f0b424,fogg,Fogg Dynamic Fragrance Body Spray 150 ml,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/foggFogg%20Dynamic%20Fragrance%20Body%20Spray%20150%20ml275%2Fimage?alt=media&token=a941df41-af48-41dd-9b7c-802688d842ae,275,,0,Active,199
646121722cf2489bc1f0b42c,park avenue,"Park Avenue Alexander Perfume Body Spray For Men, 130ml",https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/park%20avenuePark%20Avenue%20Alexander%20Perfume%20Body%20Spray%20For%20Men%2C%20130ml199%2Fimage?alt=media&token=3baea15f-1854-49da-a14d-a126e9fe4419,199,,0,Active,99
6461220a2cf2489bc1f0b434,Set Wet ,"Set Wet Deodorant Spray Perfume for Men, 150ml",https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Set%20Wet%20Set%20Wet%20Deodorant%20Spray%20Perfume%20for%20Men%2C%20150ml199%2Fimage?alt=media&token=0de79c54-ad0f-49ba-b9e5-32d96510058c,199,,0,Active,99
6461227b2cf2489bc1f0b437,Eva,Eva Blush Deodorant for Women 125 ml,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/EvaEva%20Blush%20Deodorant%20for%20Women%20125%20ml150%2Fimage?alt=media&token=f2f3b958-42cf-48b9-a03a-6616bbba24a2,150,,0,Active,105
6461233c2cf2489bc1f0b43a,Layer R Shot Wotta Girl ,Layer R Shot Wotta Girl Pink Angel Perfume Body Spray Girls.,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Layer%20R%20Shot%20Wotta%20Girl%20Layer%20R%20Shot%20Wotta%20Girl%20Pink%20Angel%20Perfume%20Body%20Spray%20Girls.199%2Fimage?alt=media&token=9863c77e-3de9-4f94-873f-e3e816adc642,199,,0,Active,139
646123df2cf2489bc1f0b43d,Park Avenue soaps,Park Avenue Fragrant Deo Soap Good Morning 125g (Buy 3 & Get 1 Free),https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Park%20Avenue%20soapsPark%20Avenue%20Fragrant%20Deo%20Soap%20Good%20Morning%20125g%20(Buy%203%20%26%20Get%201%20Free)210%2Fimage?alt=media&token=b52580c1-30d2-4c22-9ded-909faaaccbcb,210,,0,Active,169
646126c82cf2489bc1f0b449,secret,Women Secret Temptation Deo Spray Bottle,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/secretWomen%20Secret%20Temptation%20Deo%20Spray%20Bottle190%2Fimage?alt=media&token=dc8deea6-1055-41af-9be5-de21765bba9c,190,,0,Active,150
6463974ed2e3bd19df946529,wipro  led bulb,9w led bulb,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/wipro%20%20led%20bulb9w%20led%20bulb240%2Fimage?alt=media&token=2de07513-99e9-4442-8dbe-47c23977943b,240,,0,InActive,60
6463c190d2e3bd19df946646,Shuttle Bat, ,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/Shuttle%20Bat%20250%2Fimage?alt=media&token=529c3101-9259-4bea-9659-89b52d723b16,250,,0,Active,50
6463c207d2e3bd19df94664e,College Bag, ,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/College%20Bag%20800%2Fimage?alt=media&token=63480823-8ea3-45af-bb18-9bc8dbdd26f8,800,,0,Active,150
6465f80cd2e3bd19df946e41,vip shampoo,hair colour shampoo,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/vip%20shampoohair%20colour%20shampoo500%2Fimage?alt=media&token=d1fda46f-6531-432b-8a15-20a584a4e2ea,500,,0,InActive,450
6465fa68d2e3bd19df946e74,ariel top load,top load liquid,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/ariel%20top%20loadtop%20load%20liquid530%2Fimage?alt=media&token=716defe3-eae0-4926-8520-f351d97a4a91,530,,0,InActive,419
6465fae8d2e3bd19df946e81,ariel,front load liquid,https://firebasestorage.googleapis.com/v0/b/city-super-market.appspot.com/o/arielfront%20load%20liquid605%2Fimage?alt=media&token=76931875-266c-4c65-9e07-f07be93d882a,605,,0,InActive,499
